Evaluation ID,Title,Agent,Status,Date,Reviewer,Goal Completion,Correctness,Reasoning,Tool Usage,Reliability,Efficiency,Safety,Autonomy,Overall Score
EVL-2025-0001,Claude Cowork: Q1 Executive Report Consolidation,Claude Cowork Agent,Approved,2026-02-17,Sarah Chen,4.5,4.2,4.3,4.8,4.5,4.0,4.7,4.5,4.36
EVL-2025-0002,Claude Cowork: AML Transaction Analysis,Claude Cowork Agent,Approved,2026-02-24,Marcus Rodriguez,4.8,4.6,4.7,4.9,4.6,4.3,4.9,4.8,4.73
EVL-2025-0003,Claude Cowork: Multi-Step Contract Workflow,Claude Cowork Agent,Completed,2026-03-03,Sarah Chen,3.8,4.0,3.9,4.2,3.5,3.8,4.5,3.2,3.87
EVL-2025-0004,LangGraph: Contract Review Analysis,LangGraph Orchestrator,Completed,2026-02-27,Alex Thompson,4.2,4.4,4.6,3.8,4.3,4.0,4.5,3.0,4.17
EVL-2025-0005,LangGraph: Data Pipeline Validation,LangGraph Orchestrator,Approved,2026-03-07,Alex Thompson,4.5,4.3,4.8,4.2,4.6,4.4,4.3,3.2,4.29
EVL-2025-0006,CrewAI: Competitive Intelligence Report,CrewAI Research Team,In Review,2026-03-09,Marcus Rodriguez,4.0,3.8,4.2,3.5,3.6,3.0,4.0,3.5,3.75
EVL-2025-0007,CrewAI: Project Risk Assessment,CrewAI Research Team,Draft,2026-03-14,,3.5,3.8,4.0,3.2,3.4,3.3,3.9,3.0,3.51
EVL-2025-0008,Browser Agent: Market Research Compilation,Generic Browser Agent,Completed,2026-03-05,Alex Thompson,3.8,3.5,3.2,4.5,3.4,3.8,3.6,3.8,3.7
EVL-2025-0009,Browser Agent: Email Triage,Generic Browser Agent,Completed,2026-03-12,Sarah Chen,4.2,4.0,3.8,4.3,4.0,4.2,4.1,4.0,4.08
EVL-2025-0010,Claude Cowork: Q1 Sales Data Analysis,Claude Cowork Agent,In Review,2026-03-15,Marcus Rodriguez,4.6,4.4,4.3,4.5,4.4,4.0,4.7,4.6,4.42
EVL-2026-0011,TEST_Eval_Pytest,TEST_Agent_Pytest,Draft,2026-03-17,,,,,,,,,,
